1,Le retour de Poirot,1960-02-12,1
2,Poirot quitte la scène,1975-05-01,1
3,Dix brèves rencontres,1982-10-01,1
4,Le miroir de la mort,1961-01-01,1
5,Paroles,1694-01-01,4
6,Une créature de rêve,1992-02-01,12
7,Mémoire d'outre-tombe,1949-01-01,2
8,Madame de Bovary,1956-12-15,3
9,Un amour de swam,2004-06-01,9
10,Les femmes savantes,1672-03-16,16
11,Le misanthrope,1666-01-01,16
12,Les fleurs du mal,1957-06-25,15
13,Petits poèmes en prose,1969-01-01,15
14,Les mondes perdus,1980-05-06,14
15,La guerre des mondes,1970-03-15,14
16,Spectacles,1948-05-12,4
17,Les fables,1694-01-01,5
18,Le triomphe de l'amour,1980-05-06,5
19,Le livre de la jungle,1968-12-11,13
20,Kim,1901-07-01,13
21,Le marin de Gibraltar,1952-07-12,9
22,L’assommoir,1976-01-01,11
23,J'accuse,1898-01-13,11
24,La terre,1887-01-01,11
